H	Length
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	8.1377
56	7.2111
57	0
58	0
59	0
60	11.2458
61	18.9949
62	19.779
63	15.9009
64	14.7137
65	0
66	16.72
67	0
68	77.83
69	6.3983
70	38.9409
71	55.3055
72	37.252
73	41.4853
74	89.9289
75	96.8566
76	52.5524
77	126.11
78	52.3861
79	84.9522
80	40.0775
81	142.463
82	65.466
83	163.515
84	122.084
85	102.093
86	165.637
87	160.16
88	121.152
89	0
90	351.339
91	150.933
92	125.468
93	102.843
94	202.67
95	71.4448
96	164.153
97	111.137
98	105.411
99	61.4857
100	37.9239
101	98.8885
102	31.6482
103	28.5667
104	65.4901
105	19.3538
106	31.2894
107	32.1211
108	30.2177
109	48.7769
110	63.281
111	24.1413
112	0
113	10.9432
114	13.7203
115	0
116	32.4979
117	8.74607
118	19.9877
119	0
120	0
121	10.977
122	8.38575
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	9.5865
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

