H	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	1
13	1
14	2
15	0
16	1
17	1
18	1
19	0
20	1
21	1
22	1
23	0
24	1
25	0
26	1
27	2
28	1
29	0
30	2
31	3
32	3
33	5
34	6
35	4
36	3
37	2
38	11
39	7
40	5
41	6
42	5
43	6
44	2
45	6
46	6
47	5
48	6
49	8
50	8
51	14
52	5
53	8
54	7
55	5
56	7
57	10
58	5
59	3
60	8
61	6
62	4
63	7
64	3
65	8
66	1
67	2
68	6
69	3
70	5
71	6
72	7
73	9
74	10
75	4
76	3
77	4
78	5
79	2
80	2
81	3
82	2
83	2
84	3
85	3
86	0
87	3
88	2
89	1
90	4
91	1
92	3
93	1
94	3
95	2
96	1
97	1
98	0
99	1
100	2
101	1
102	3
103	4
104	3
105	3
106	1
107	0
108	2
109	8
110	4
111	0
112	5
113	3
114	3
115	1
116	3
117	2
118	1
119	3
120	3
121	3
122	2
123	0
124	1
125	1
126	2
127	0
128	1
129	2
130	0
131	2
132	1
133	2
134	0
135	1
136	1
137	0
138	1
139	3
140	0
141	0
142	0
143	0
144	0
145	0
146	1
147	0
148	0
149	0
150	1
151	0
152	0
153	0
154	1
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

