H	Length
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	11.4719
59	13.4532
60	31.9461
61	0
62	0
63	0
64	18.6879
65	10.2439
66	0
67	16.1367
68	79.1519
69	69.9655
70	66.4166
71	102.741
72	50.8133
73	88.0995
74	65.234
75	25.4394
76	70.2288
77	136.958
78	207.058
79	63.7238
80	92.6127
81	171.407
82	175.721
83	73.156
84	88.8475
85	220.02
86	178.792
87	275.164
88	167.179
89	124.013
90	379.338
91	202.301
92	120.998
93	193.043
94	25.8552
95	137.959
96	21.0315
97	67.0371
98	63.7655
99	58.5631
100	35.698
101	39.2234
102	86.7007
103	18.0564
104	38.8081
105	33.6409
106	57.8757
107	25.652
108	33.5202
109	0
110	27.492
111	38.0059
112	23.6069
113	13.8314
114	12.929
115	8.14982
116	11.9257
117	17.7916
118	0
119	0
120	7.4701
121	0
122	0
123	0
124	10.8503
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

