H	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	1
59	1
60	3
61	0
62	0
63	0
64	2
65	1
66	0
67	1
68	7
69	6
70	6
71	8
72	4
73	6
74	4
75	3
76	5
77	10
78	16
79	6
80	7
81	12
82	13
83	5
84	7
85	16
86	13
87	22
88	12
89	8
90	30
91	16
92	9
93	16
94	2
95	12
96	2
97	7
98	4
99	5
100	3
101	4
102	7
103	2
104	3
105	3
106	5
107	2
108	2
109	0
110	2
111	3
112	2
113	1
114	1
115	1
116	2
117	1
118	0
119	0
120	1
121	0
122	0
123	0
124	1
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

