H	Length
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	9.45423
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	12.9462
40	0
41	0
42	0
43	0
44	0
45	24.9853
46	9.43332
47	10.5386
48	0
49	12.9195
50	0
51	12.4939
52	0
53	13.8225
54	0
55	0
56	25.0237
57	0
58	25.0402
59	34.0727
60	35.6138
61	23.2687
62	37.2717
63	38.0631
64	26.2457
65	32.7182
66	28.0705
67	91.3341
68	72.5474
69	71.8641
70	82.5904
71	91.0746
72	96.1507
73	67.9846
74	51.2218
75	117.986
76	67.644
77	55.5345
78	144.911
79	67.3409
80	123.301
81	90.3233
82	133.356
83	130.163
84	134.398
85	135.312
86	133.173
87	210.866
88	115.599
89	45.116
90	192.897
91	155.376
92	148.354
93	100.416
94	182.301
95	102.691
96	112.299
97	105.38
98	57.5123
99	150.482
100	81.1556
101	131.095
102	44.9054
103	32.6637
104	102.139
105	98.0178
106	50.9786
107	44.9139
108	61.4193
109	44.3524
110	22.0821
111	81.9142
112	39.2479
113	52.0566
114	52.8016
115	51.3919
116	21.3669
117	30.8126
118	5.56887
119	8.65525
120	8.27012
121	0
122	22.3783
123	33.1588
124	0
125	24.5412
126	29.4249
127	0
128	0
129	0
130	0
131	0
132	0
133	9.43332
134	16.1856
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

