dataset, -delta angle, centre angle, +delta angle, -area, +area
177_09,-7.02,88.79,+7.96,5.82e+04,5.82e+04
180_09,-6.59,89.58,+6.51,8.03e+04,8.03e+04
183_09,-12.43,84.98,+17.07,5.67e+04,5.67e+04
186_09,-5.91,91.98,+6.05,8.81e+04,8.81e+04
189_09,-7.62,82.18,+8.01,1.14e+05,1.14e+05
192_09,-11.69,98.03,+13.39,9.64e+04,9.64e+04
195_09,-9.23,89.25,+9.56,7.63e+04,7.63e+04
198_09,-8.45,92.22,+8.54,1.22e+05,1.22e+05
201_09,-10.27,90.90,+10.14,8.80e+04,8.80e+04
204_09,-5.68,95.23,+5.82,1.31e+05,1.31e+05
207_09,-6.98,88.02,+7.13,3.97e+04,3.97e+04
210_09,-8.60,99.10,+9.16,3.64e+04,3.64e+04
213_09,-9.06,86.39,+10.04,4.80e+04,4.80e+04
216_09,-7.58,99.76,+6.83,1.15e+05,1.15e+05
219_09,-7.13,91.61,+7.20,1.03e+05,1.03e+05
222_09,-6.76,95.33,+6.51,1.10e+05,1.10e+05
225_09,-8.68,102.53,+9.77,7.23e+04,7.23e+04
228_09,-10.83,80.54,+10.96,8.02e+04,8.02e+04
231_09,-13.55,88.88,+12.30,6.87e+04,6.87e+04
234_09,-15.02,105.95,+12.85,7.84e+04,7.84e+04
237_09,-10.34,85.29,+9.52,9.26e+04,9.26e+04
240_09,-10.50,92.17,+10.61,9.95e+04,9.95e+04
243_09,-5.89,97.35,+6.31,1.30e+05,1.30e+05
246_09,-4.61,94.64,+4.65,7.19e+04,7.19e+04
249_09,-15.27,101.51,+16.67,8.13e+04,8.13e+04
252_09,-8.63,94.18,+9.03,1.21e+05,1.21e+05
255_09,-12.89,91.02,+12.64,1.13e+05,1.13e+05
258_09,-8.69,95.30,+8.54,1.48e+05,1.48e+05
261_09,-17.28,98.83,+16.98,2.01e+05,2.01e+05
264_09,-12.85,118.27,+14.49,1.32e+05,1.32e+05
267_09,-11.41,93.99,+12.94,8.69e+04,8.69e+04
270_09,-6.20,99.42,+6.22,1.10e+05,1.10e+05
273_09,-7.92,84.89,+7.85,1.64e+05,1.64e+05
276_09,-8.58,89.82,+8.52,4.35e+04,4.35e+04
279_09,-13.81,85.59,+13.01,9.81e+04,9.81e+04
282_09,-11.04,78.77,+11.93,9.34e+04,9.34e+04
285_09,-10.46,79.72,+9.47,1.79e+05,1.79e+05
288_09,-8.61,92.58,+8.96,1.03e+05,1.03e+05
291_09,-13.43,118.89,+14.25,7.20e+04,7.20e+04
294_09,-12.42,100.20,+12.29,9.55e+04,9.55e+04
297_09,-7.16,89.15,+7.01,1.16e+05,1.16e+05
300_09,-7.59,106.15,+8.20,8.95e+04,8.95e+04
303_09,-10.16,84.33,+10.91,1.38e+05,1.38e+05
306_09,-8.20,84.42,+8.12,1.37e+05,1.37e+05
309_09,-10.68,98.50,+10.34,9.89e+04,9.89e+04
312_09,-6.45,92.46,+7.13,8.96e+04,8.96e+04
315_09,-7.10,87.52,+6.69,1.12e+05,1.12e+05
318_09,-8.33,87.83,+8.36,1.49e+05,1.49e+05
321_09,-6.64,91.42,+6.51,7.96e+04,7.96e+04
324_09,-11.94,113.94,+11.95,1.24e+05,1.24e+05
327_09,-8.21,87.83,+7.95,1.29e+05,1.29e+05
330_09,-7.96,100.99,+7.77,1.39e+05,1.39e+05
333_09,-6.65,86.61,+6.32,1.21e+05,1.21e+05
336_09,-5.91,87.90,+6.36,1.41e+05,1.41e+05
339_09,-12.60,102.12,+13.18,8.34e+04,8.34e+04
342_09,-10.56,87.78,+11.97,1.23e+05,1.23e+05
345_09,-7.98,95.12,+8.32,6.16e+04,6.16e+04
348_09,-7.82,90.66,+7.52,6.58e+04,6.58e+04
351_09,-8.88,76.93,+8.02,1.44e+05,1.44e+05
354_09,-13.26,103.74,+14.30,1.20e+05,1.20e+05
357_09,-11.32,89.48,+10.63,5.83e+04,5.83e+04
360_09,-8.35,87.78,+8.11,7.59e+04,7.59e+04
363_09,-10.88,100.74,+12.00,1.36e+05,1.36e+05
366_09,-8.82,85.51,+8.39,6.23e+04,6.23e+04
369_09,-12.69,81.51,+11.77,1.56e+05,1.56e+05
372_09,-8.62,100.48,+8.43,1.51e+05,1.51e+05
375_09,-7.36,94.35,+7.48,1.16e+05,1.16e+05
378_09,-9.86,97.83,+10.18,1.38e+05,1.38e+05
381_09,-9.08,91.49,+8.82,1.05e+05,1.05e+05
384_09,-12.66,88.19,+12.20,8.85e+04,8.85e+04
387_09,-10.53,88.72,+10.24,1.82e+05,1.82e+05
390_09,-9.00,104.95,+9.72,6.68e+04,6.68e+04
393_09,-7.52,89.19,+7.52,6.83e+04,6.83e+04
396_09,-8.06,91.36,+7.89,1.08e+05,1.08e+05
399_09,-12.98,94.47,+14.51,8.88e+04,8.88e+04
402_09,-11.19,89.35,+10.83,7.51e+04,7.51e+04
405_09,-8.43,85.80,+8.82,9.46e+04,9.46e+04
408_09,-6.96,89.92,+7.44,6.39e+04,6.39e+04
411_09,-11.59,102.49,+11.50,1.26e+05,1.26e+05
414_09,-12.03,85.48,+11.40,7.35e+04,7.35e+04
417_09,-9.16,88.02,+9.81,6.65e+04,6.65e+04
423_09,-9.54,86.11,+10.53,5.77e+04,5.77e+04
