directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,number of files,filenames
177_09,1,1083310.7011396489,2166625.4022792978,2166631.7881929995,6150.6642021596172,0.0,232540.12139999995,0.16302221804374176,6288.7860281115181,0.669585307461812,1.0,1,90.22920974333357,1.888952794645259,1.0,4,"P0025_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
180_09,1,1447615.4444342433,2895234.8888684865,2895241.2747821882,3395.9236700527031,0.0,321032.91080000025,0.097489933573986692,3571.6647699379487,0.0015787712120984843,1.0,1,89.94461257165248,2.364559139267981,1.0,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0018_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
183_09,1,1149751.8105215661,2299507.6210431322,2299514.0069568339,18214.695528415075,0.0,226218.98880000002,0.28918279850219181,18310.42854107028,0.99800516515690718,1.0,1,95.98096954164956,0.6942392596075343,1.0,4,"P0029_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
186_09,1,1609446.7019521459,3218897.4039042918,3218903.7898179935,29023.10721018754,0.0,352105.01409999985,0.26048471817262642,29165.080093887085,0.00042429412379452192,1.0,1,92.59822841315624,2.1581113311596423,1.0,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
189_09,1,2104354.9584689913,4208713.9169379827,4208720.3028516844,2130.8456983405968,0.0,456764.24890000001,0.071564443429012636,2333.8733919995129,0.97111498415733211,1.0,1,82.9764091117669,2.0441195205182185,1.0,4,"P0032_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt"
192_09,1,1947049.2188912281,3894102.4377824562,3894108.8236961579,9655.0305285925788,0.0,384617.83920000016,0.16128637724729181,9689.3460155091489,0.99358480659465387,1.0,1,99.95849543422182,0.761285158513359,1.0,4,"P0035_orientationJ_ImageJ.txt, P0037_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
195_09,1,1479707.5951799974,2959419.1903599948,2959425.5762736965,1488.0841178694714,7.7664321942765536e-206,304810.46040000016,0.071724699365452949,1556.7733864620682,0.99168006364510008,1.0,1,89.56732003826323,1.3474578127921117,1.0,4,"P0041_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt"
198_09,1,2338090.0759261916,4676184.1518523833,4676190.537766085,6047.2060137695617,0.0,487631.01830000023,0.11116593108727102,6179.6474291666282,0.56222320394960734,1.0,1,92.72098416352699,1.507536622950943,1.0,4,"P0043_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
201_09,1,1719272.1257865361,3438548.2515730723,3438554.637486774,1510.5100489489437,3.8730129981020121e-210,351429.71530000004,0.06619011832186586,1584.9484677221592,0.95340150164829096,1.0,1,91.12436604667629,1.2467207437628163,1.0,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0049_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
204_09,1,2330267.6103668106,4660539.2207336212,4660545.6066473229,28442.356418468891,0.0,522274.80490000005,0.20437013342071211,28666.157707852795,0.00040568823317876923,1.0,1,95.97772343222037,2.5356432803717426,1.0,4,"P0054_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt"
207_09,1,742266.78005651571,1484537.5601130314,1484543.9460267331,6153.0597241719979,0.0,158828.84330000001,0.18434119017975933,6248.6767488715705,0.00018968328125412715,1.0,1,88.67946037541938,1.8457818417437193,1.0,4,"P0056_orientationJ_ImageJ.txt, P0057_orientationJ_ImageJ.txt, P0058_orientationJ_ImageJ.txt, P0055_orientationJ_ImageJ.txt"
210_09,1,687428.94012733886,1374861.8802546777,1374868.2661683795,2337.1012218699207,0.0,145697.3995,0.13081169205133034,2419.780809723266,0.99439171433981088,1.0,1,100.27764827448095,1.7179632807456813,1.0,4,"P0061_orientationJ_ImageJ.txt, P0062_orientationJ_ImageJ.txt, P0059_orientationJ_ImageJ.txt, P0060_orientationJ_ImageJ.txt"
213_09,1,937155.95594093017,1874315.9118818603,1874322.2977955621,4539.1566676681223,0.0,191805.69750000001,0.15167316486036991,4564.2004901621694,0.57772190466022399,1.0,1,87.55736934061966,1.2634622996938825,1.0,4,"P0064_orientationJ_ImageJ.txt, P0065_orientationJ_ImageJ.txt, P0063_orientationJ_ImageJ.txt, P0066_orientationJ_ImageJ.txt"
216_09,1,2123437.250042968,4246878.5000859359,4246884.8859996377,8723.7343370099752,0.0,461414.79649999976,0.14513051515794778,8883.0909792499115,0.99999992666445692,1.0,1,99.46155925004803,2.059845045924572,1.0,4,"P0071_orientationJ_ImageJ.txt, P0069_orientationJ_ImageJ.txt, P0070_orientationJ_ImageJ.txt, P0068_orientationJ_ImageJ.txt"
219_09,1,1893115.58415057,3786235.16830114,3786241.5542148417,3206.4442464360468,0.0,412274.24759999989,0.081841450726128626,3378.4634425576733,0.00015752144572478421,1.0,1,92.12124434780947,2.09149914865943,1.0,4,"P0073_orientationJ_ImageJ.txt, P0075_orientationJ_ImageJ.txt, P0074_orientationJ_ImageJ.txt, P0072_orientationJ_ImageJ.txt"
222_09,1,2037321.4115136068,4074646.8230272136,4074653.2089409153,20677.531497786793,0.0,440458.73060000018,0.20585877972322511,20805.414624804889,0.00037132052819566219,1.0,1,95.61655019891938,1.987869923876792,1.0,4,"P0078_orientationJ_ImageJ.txt, P0079_orientationJ_ImageJ.txt, P0077_orientationJ_ImageJ.txt, P0076_orientationJ_ImageJ.txt"
225_09,1,1418435.3725520873,2836874.7451041746,2836881.1310178763,12397.045352592557,0.0,288545.67290000006,0.21053775544285211,12421.214279723574,0.99256957773153975,1.0,1,104.44602342796725,1.1833455441789034,1.0,4,"P0080_orientationJ_ImageJ.txt, P0083_orientationJ_ImageJ.txt, P0082_orientationJ_ImageJ.txt, P0081_orientationJ_ImageJ.txt"
228_09,1,1578900.6750442509,3157805.3500885018,3157811.7360022035,2312.9223304968641,0.0,320267.95419999992,0.084969293085605566,2382.2896005069424,0.86745339289075796,1.0,1,80.86372239396418,1.1451455240425619,1.0,4,"P0086_orientationJ_ImageJ.txt, P0087_orientationJ_ImageJ.txt, P0084_orientationJ_ImageJ.txt, P0085_orientationJ_ImageJ.txt"
231_09,1,1371894.1365159042,2743792.2730318084,2743798.6589455102,11513.423674393405,0.0,274205.22279999999,0.23003687119720817,11530.084871628862,1.0,1.0,1,87.70087859199955,0.9410064379014925,1.0,4,"P0091_orientationJ_ImageJ.txt, P0090_orientationJ_ImageJ.txt, P0088_orientationJ_ImageJ.txt, P0089_orientationJ_ImageJ.txt"
234_09,1,1586125.0160456956,3172254.0320913913,3172260.418005093,5480.8805796147926,0.0,313031.07149999979,0.13142475516934879,5522.0899381273039,0.66439527958343603,1.0,1,100.90483680492314,0.7460357496733431,1.0,4,"P0093_orientationJ_ImageJ.txt, P0094_orientationJ_ImageJ.txt, P0092_orientationJ_ImageJ.txt, P0095_orientationJ_ImageJ.txt"
237_09,1,1801439.4745837857,3602882.9491675715,3602889.3350812732,3259.9884847398093,0.0,369864.8137,0.098841641575467279,3319.0251401966466,0.99997007833312612,1.0,1,85.08803910456928,1.3047011291646178,1.0,4,"P0002_orientationJ_ImageJ.txt, P0001_orientationJ_ImageJ.txt, P0003_orientationJ_ImageJ.txt, P0004_orientationJ_ImageJ.txt"
240_09,1,1946258.1971552884,3892520.3943105768,3892526.7802242786,1472.9054763455499,6.2692212058853533e-203,397407.49119999976,0.064126382863977427,1551.7391370870848,0.99945003137004684,1.0,1,93.38195583585204,1.2328847764179016,1.0,4,"P0005_orientationJ_ImageJ.txt, P0008_orientationJ_ImageJ.txt, P0007_orientationJ_ImageJ.txt, P0006_orientationJ_ImageJ.txt"
243_09,1,2382164.3782696319,4764332.7565392638,4764339.1424529655,32960.864374055447,0.0,520812.52530000021,0.23428206194550094,33164.424251107055,0.0004640915199282114,1.0,1,98.24142353446292,2.148444882727308,1.0,4,"P0010_orientationJ_ImageJ.txt, P0009_orientationJ_ImageJ.txt, P0012_orientationJ_ImageJ.txt, P0011_orientationJ_ImageJ.txt"
246_09,1,1209336.4451316486,2418676.8902632971,2418683.2761769989,22398.021195112095,0.0,287540.56150000007,0.18768838680530958,22527.51866888006,0.00026099313572836014,1.0,1,95.22067566747062,3.739671729568625,1.0,4,"P0015_orientationJ_ImageJ.txt, P0013_orientationJ_ImageJ.txt, P0016_orientationJ_ImageJ.txt, P0014_orientationJ_ImageJ.txt"
249_09,1,1666297.3661699283,3332598.7323398567,3332605.1182535584,4791.9664711406194,0.0,323851.06249999983,0.12408490582528095,4799.4165811111097,0.99545777902145394,1.0,1,98.4034972052489,0.4448544380141217,1.0,4,"P0018_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
252_09,1,2327921.2478138385,4655846.4956276771,4655852.8815413788,6311.6563313314073,0.0,482006.21929999982,0.11522943921487871,6397.173518150672,0.87084442171449727,1.0,1,94.70254155436913,1.4138980158516607,1.0,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
255_09,1,2264174.2297808225,4528352.4595616451,4528358.8454753468,802.69277956040003,2.0720312528769666e-80,449214.51070000033,0.043827102845402352,843.1057489454995,0.99964405928835798,1.0,1,91.50891279729692,0.8305343392566931,1.0,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0025_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
258_09,1,2867202.1407897528,5734408.2815795057,5734414.6674932074,16996.284783912426,0.0,592718.03580000007,0.1666981008467997,17161.60910800163,0.024254205205777701,1.0,1,95.928690809849,1.3932208421645886,1.0,4,"P0029_orientationJ_ImageJ.txt, P0032_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
261_09,1,4141220.5566685139,8282445.1133370278,8282451.4992507296,3297.8033374822098,0.0,802683.2011000003,0.064665207536668767,3314.874018646723,0.97137439067597608,1.0,1,101.46411133690201,0.37210030257665316,1.0,4,"P0035_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
264_09,1,2667971.1102539604,5335946.2205079207,5335952.6064216224,4876.0836013090056,0.0,527827.87420000008,0.098079014169115658,4919.900860212394,0.9911806124478888,1.0,1,120.90715581212402,0.7858394583765481,1.0,4,"P0037_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt"
267_09,1,1744921.5741981813,3489847.1483963626,3489853.5343100643,3577.7771431547958,0.0,346772.78600000002,0.10284121214045429,3611.2610457992578,0.97394135835101558,1.0,1,94.13910440808253,0.8561620698354184,1.0,4,"P0041_orientationJ_ImageJ.txt, P0043_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
270_09,1,1975523.9657106225,3951051.931421245,3951058.3173349467,9601.673547570801,0.0,440197.52579999983,0.1345803650945451,9819.7543721308648,0.00023209042619753983,1.0,1,100.0690417300771,2.4403361898337255,1.0,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt"
273_09,1,3112283.3672550856,6224570.7345101712,6224577.120423873,14027.918321748337,0.0,656144.32700000016,0.13921679533313222,14240.721259324329,0.00029399146337349968,1.0,1,85.494251489146,1.648073644817815,1.0,4,"P0049_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
