directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,number of files,filenames
177_09,1,1080912.6505963702,2161835.3011927404,2161851.2659769948,1273.5238028305625,1.8986165457462464e-166,232540.12139999995,0.074601398140649366,1386.1120966167186,0.88010320492459482,1.0,2,86.47340481802257,3.3197530858974917,0.6213116378157585,101.24961883958287,1.0829079551210257,0.3786883621842415,4,"P0025_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
180_09,1,1446218.6474242501,2892447.2948485003,2892463.2596327546,343.81053960715508,3.0868138587670838e-13,321032.91080000025,0.040989368132790575,531.00248081852101,0.999971532108616,1.0,2,80.55374422272281,0.6146435898257043,0.09778315466277492,90.31132360708635,2.878503792643726,0.902216845337225,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0018_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
183_09,1,1142063.5456479399,2284137.0912958798,2284153.0560801341,2598.1851307136831,0.0,226218.98880000002,0.10998417681113898,2635.3197412359459,0.99646341942715533,1.0,2,66.84353946112938,7.283695013310335,0.21208733456267925,114.36361504278628,0.7605522113900808,0.7879126654373207,4,"P0029_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
186_09,1,1597000.7582210223,3194011.5164420446,3194027.481226299,538.32448082852716,7.3675333352838488e-39,352105.01409999985,0.047223065596716608,775.16464670578875,0.99961739595332,1.0,2,92.5557450126795,0.623725629897011,0.26577130866709014,92.60346285809631,4.350717087957906,0.7342286913329099,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
189_09,1,2103827.0203092499,4207664.0406184997,4207680.0054027541,1068.2257244435368,2.0227008937261379e-128,456764.24890000001,0.053771713715446562,1258.2347957107831,0.99959368442377894,1.0,2,64.26810801698029,8.484224170445371,0.06003428772416373,84.46163872848359,2.033587016307852,0.9399657122758364,4,"P0032_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt"
192_09,1,1942356.0509123963,3884722.1018247926,3884738.0666090469,299.55780754595497,1.0436855353378052e-08,384617.83920000016,0.029973108618778492,346.64260913469525,0.99999894982003168,1.0,2,94.62486014624591,1.9076506988206112,0.5725775122092219,155.63626128434225,0.3693115052793953,0.4274224877907781,4,"P0035_orientationJ_ImageJ.txt, P0037_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
195_09,1,1479170.1674020379,2958350.3348040758,2958366.2995883301,414.16823288743808,1.2572481882156811e-21,304810.46040000016,0.039935636238457958,488.39943671680317,0.99996498600871497,1.0,2,90.63445797633551,0.9899199176892642,0.6638453981977072,88.37273358419048,2.6578583233902444,0.3361546018022928,4,"P0041_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt"
198_09,1,2335392.4828753732,4670794.9657507464,4670810.9305350007,541.01657420049128,2.9380388145494841e-39,487631.01830000023,0.03763709774861649,692.41584331886941,0.99959764844011467,1.0,2,77.57062378131884,0.35242059008235166,0.22316531912898563,93.7121141330257,2.1938822142537404,0.7768346808710144,4,"P0043_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
201_09,1,1718856.3123696125,3437722.624739225,3437738.5895234793,657.722043570864,2.4393092188831064e-57,351429.71530000004,0.045529468328129145,737.43851461901329,0.99909812313483148,1.0,2,178.68634633493443,5.107657426329672,0.015442597808163771,91.06212131301666,1.323161845050696,0.9845574021918363,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0049_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
204_09,1,2318558.4051652704,4637126.8103305409,4637142.7751147952,574.53642814279829,2.6487071079828998e-44,522274.80490000005,0.043094647363811335,966.63179470138653,0.99820931322938566,1.0,2,99.29493842763331,0.9851200088626735,0.2454173736282054,95.43591686371718,4.375027620412262,0.7545826263717945,4,"P0054_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt"
