directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,mu2,kappa2,prob2,mu3,kappa3,prob3,number of files,filenames
177_09,1,1080450.7317939415,2160923.4635878829,2160958.5861132429,318.31541712872314,2.2311310299150132e-11,232540.12139999995,0.042613134004894658,428.07022325009689,0.99998471475220463,1.0,4,81.64319232337601,4.191456305552503,0.5886656084287666,104.33421029654146,5.527581321499745,0.22298230730597887,126.9993824980038,2.1051496439244395,0.11240026202452628,31.046695954205067,0.6632869623816984,0.07595182224072826,4,"P0025_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
180_09,1,1446161.4629004591,2892344.9258009181,2892380.0483262781,230.24106421202609,0.0010214403376261174,321032.91080000025,0.036282918825720246,417.73241421558959,0.99999580683774181,1.0,4,87.84875644919407,1.4362380375417623,0.3888859630161279,87.48817473456519,6.458193900854368,0.3296421900674531,103.49324919317174,5.800827954646158,0.20724446425820942,70.7926951092922,9.093473635367506,0.0742273826582096,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0018_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
183_09,1,1140977.3159346639,2281976.6318693277,2282011.7543946877,432.63323606084862,3.0162781470394121e-25,226218.98880000002,0.046693719463885307,487.47321350348898,0.99998302171370068,1.0,4,94.69608446286695,0.6799603393296377,0.4645037365687146,68.15844307576972,6.286196257710237,0.22972712791898187,123.6568579852479,3.7069537209637606,0.22379131922894027,172.94517965186276,1.7948727038874932,0.0819778162833633,4,"P0029_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
186_09,1,1596838.728926697,3193699.4578533941,3193734.5803787541,215.65958225630385,0.0076787226294923504,352105.01409999985,0.035967785623998258,456.48424566259752,0.99998263244374808,1.0,4,90.74266259480304,1.5230876259702104,0.3921221849285294,90.4860167352857,6.901282181775934,0.28605937133550907,96.35697777443693,4.158922264021194,0.282086918125124,178.82913597616755,1.1982724546530341,0.03973152561083757,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
189_09,1,2103407.5241526375,4206837.0483052749,4206872.1708306344,234.87519973614869,0.00050451481157126762,456764.24890000001,0.030812504214348019,440.88566005461365,0.99997722655840326,1.0,4,95.11225768338747,3.031191114928929,0.520845989777199,70.81664926496927,4.453397382782804,0.3913173506002681,1.267767382534914,0.059587297117254356,0.05122568698494544,44.38923218220993,4.891326679586653,0.036610972637587454,4,"P0032_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt"
192_09,1,1942328.8917857709,3884679.7835715418,3884714.9060969017,245.42083518196796,9.0970019297677271e-05,384617.83920000016,0.027504670177253335,292.40923143968877,0.99999987104345001,0.99999999999999978,4,90.19594647252804,2.204739642449857,0.47945430581184534,173.37009412661192,0.40954675320897876,0.3545449756211672,131.00956185679487,1.8685342161885454,0.10552771132516997,107.88313093165121,5.382493732001313,0.06047300724181751,4,"P0035_orientationJ_ImageJ.txt, P0037_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
195_09,1,1479075.9517736668,2958173.9035473336,2958209.0260726935,225.17415535471542,0.0021334693053089424,304810.46040000016,0.031392992732567411,300.5997084264315,0.99999984120534213,1.0,4,87.50696945693457,2.2787098815058586,0.5414709502912595,94.45970313588752,0.7559541413211416,0.4427974266381553,117.85247611339369,24.51925221648424,0.009558583378901598,34.198710214179364,28.257940124336972,0.0061730396916836565,4,"P0041_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt"
198_09,1,2335253.0233396892,4670528.0466793785,4670563.169204738,262.2718980675163,4.4110719895503426e-06,487631.01830000023,0.029231551559953852,413.96478211358198,0.99999522694486442,1.0,4,104.67155791840922,3.378910654563134,0.3533433787068864,89.81965738441446,0.4273861766902075,0.3033612944193487,84.83734851855549,4.957821322242268,0.2900447023922299,58.13666175146765,3.870266325275929,0.05325062448153489,4,"P0043_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
201_09,1,1718647.330485441,3437316.660970882,3437351.783496242,241.12040200029654,0.00018618764436193947,351429.71530000004,0.030128376840475111,315.59883879156672,0.99999980996315097,1.0,4,95.61113943219897,2.3365299999998546,0.5864576148254954,166.43191154384994,0.053278569441948746,0.2217625090777325,66.48887233771529,4.05343158424162,0.15552310818859016,125.34183774290241,6.2413315551339075,0.036256767908181914,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0049_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
204_09,1,2318473.989555324,4636969.9791106479,4637005.1016360074,403.62915761781608,1.9751660400215441e-21,522274.80490000005,0.039093743462665205,799.08514476010612,0.99913406568970109,1.0,4,96.60781239587955,5.169511904624062,0.5960595948919799,97.58699923424966,1.3429411091016918,0.3444854202920916,82.85481940766375,8.376906994114318,0.05569127446519848,1.0161940407586445,9.600130137070058,0.0037637103507300973,4,"P0054_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt"
