directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,number of files,filenames
177_09,1,1083310.7011396505,2166627.4022793011,2166636.9811498537,6150.6633629939242,0.0,232540.12139999995,0.16302223837576046,6288.7855452376398,0.669589944584986,1.0,2,90.22920049974485,1.8889525805940817,0.5,90.2292207715206,1.8889525805940817,0.5,4,"P0025_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
180_09,1,1447615.4444342451,2895236.8888684902,2895246.4677390428,3395.9236380516463,0.0,321032.91080000025,0.097489967256302296,3571.6663927344166,0.0015788002059160533,1.0,2,89.94461451674516,2.364559109512586,0.5,89.94461568717746,2.364559109512586,0.5,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0018_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
183_09,1,1145562.3890053958,2291130.7780107916,2291140.3568813442,9818.3221229189803,0.0,226218.98880000002,0.20665315266369622,9858.7445287060818,0.45993940630121521,1.0,2,70.47326216367334,1.47179553237333,0.5,126.83454271740932,1.47179553237333,0.5,4,"P0029_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
186_09,1,1609446.7019521452,3218899.4039042904,3218908.982774843,29023.110055539149,0.0,352105.01409999985,0.26048470132101853,29165.082676538583,0.00042428631299606945,1.0,2,92.5982245119863,2.158111451646729,0.5,92.598231358789,2.158111451646729,0.5,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
189_09,1,2104098.7888356443,4208203.5776712885,4208213.1565418411,1651.1284150363933,9.2469681448628538e-239,456764.24890000001,0.062048126393882144,1852.2539621861606,0.83936161828652933,1.0,2,75.56152884917525,2.2093404525524747,0.5,90.43537087040745,2.2093404525524747,0.5,4,"P0032_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt"
192_09,1,1947049.2188912521,3894104.4377825041,3894114.0166530567,9655.0319814375252,0.0,384617.83920000016,0.1612863616177497,9689.3477489574125,0.99358447294700558,1.0,2,99.9585239849166,0.7612855771513121,0.5,99.95847354170766,0.7612855771513121,0.5,4,"P0035_orientationJ_ImageJ.txt, P0037_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
195_09,1,1479707.5951800062,2959421.1903600125,2959430.7692305651,1488.0843214323552,3.1112916165635617e-207,304810.46040000016,0.071724738293173163,1556.7754467565687,0.99167992813926542,1.0,2,89.56730506934798,1.3474580683390183,0.5,89.56734878322698,1.3474580683390183,0.5,4,"P0041_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt"
198_09,1,2338090.0759262196,4676186.1518524392,4676195.7307229917,6047.204396117646,0.0,487631.01830000023,0.11116597283607595,6179.6470786143918,0.56223549099221803,1.0,2,92.7210189058458,1.5075362225588107,0.5,92.72095498518298,1.5075362225588107,0.5,4,"P0043_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
201_09,1,1719272.1257865748,3438550.2515731496,3438559.8304437022,1510.5107314088184,1.5168695170967738e-211,351429.71530000004,0.066190175437077142,1584.952864640208,0.95339917200411106,1.0,2,91.12433717776024,1.2467211179176718,0.5,91.12442163515583,1.2467211179176718,0.5,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0049_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
204_09,1,2330267.6103668176,4660541.2207336351,4660550.7996041877,28442.346152731039,0.0,522274.80490000005,0.204370185582994,28666.149233642103,0.00040571640158248989,1.0,2,95.9777211202977,2.535642902141571,0.5,95.97772889338007,2.535642902141571,0.5,4,"P0054_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt"
207_09,1,742266.7800565178,1484539.5601130356,1484549.1389835882,6153.0586458323314,0.0,158828.84330000001,0.18434122287069521,6248.6760634284201,0.00018968869786717413,1.0,2,88.6794650444271,1.8457815698289528,0.5,88.67945985751678,1.8457815698289528,0.5,4,"P0056_orientationJ_ImageJ.txt, P0057_orientationJ_ImageJ.txt, P0058_orientationJ_ImageJ.txt, P0055_orientationJ_ImageJ.txt"
210_09,1,687308.75281723647,1374623.5056344729,1374633.0845050255,2127.3791262063191,0.0,145697.3995,0.12282496435995417,2207.0610935053496,0.96405246587159543,1.0,2,91.29233049511242,1.8957688330933373,0.5,109.57525068998403,1.8957688330933373,0.5,4,"P0061_orientationJ_ImageJ.txt, P0062_orientationJ_ImageJ.txt, P0059_orientationJ_ImageJ.txt, P0060_orientationJ_ImageJ.txt"
213_09,1,937155.95594093704,1874317.9118818741,1874327.4907524267,4539.155444561562,0.0,191805.69750000001,0.15167318809242197,4564.1990589948291,0.57773003083715124,1.0,2,87.55738634671495,1.2634618255219736,0.5,87.55734797988077,1.2634618255219736,0.5,4,"P0064_orientationJ_ImageJ.txt, P0065_orientationJ_ImageJ.txt, P0063_orientationJ_ImageJ.txt, P0066_orientationJ_ImageJ.txt"
216_09,1,2123437.2500429745,4246880.500085949,4246890.0789565016,8723.7347522444979,0.0,461414.79649999976,0.14513050271270936,8883.0909492459832,0.99999992666116722,1.0,2,99.4615765462894,2.0598451138761438,0.5,99.46154067910362,2.0598451138761438,0.5,4,"P0071_orientationJ_ImageJ.txt, P0069_orientationJ_ImageJ.txt, P0070_orientationJ_ImageJ.txt, P0068_orientationJ_ImageJ.txt"
219_09,1,1893115.5841505914,3786237.1683011828,3786246.7471717354,3206.4432231234468,0.0,412274.24759999989,0.081841556386288275,3378.4674124234793,0.00015754291632874562,1.0,2,92.12125182390896,2.091498895200278,0.5,92.12125089886776,2.091498895200278,0.5,4,"P0073_orientationJ_ImageJ.txt, P0075_orientationJ_ImageJ.txt, P0074_orientationJ_ImageJ.txt, P0072_orientationJ_ImageJ.txt"
222_09,1,2037321.4115136084,4074648.8230272168,4074658.4018977694,20677.527756424446,0.0,440458.73060000018,0.20585879909887231,20805.410332508789,0.0003713296001953692,1.0,2,95.61655092509125,1.9878696784916436,0.5,95.61654794175507,1.9878696784916436,0.5,4,"P0078_orientationJ_ImageJ.txt, P0079_orientationJ_ImageJ.txt, P0077_orientationJ_ImageJ.txt, P0076_orientationJ_ImageJ.txt"
225_09,1,1418435.372552088,2836876.745104176,2836886.3239747286,12397.045711266503,0.0,288545.67290000006,0.21053775801028954,12421.21517894176,0.99256952280714916,1.0,2,104.44601924857284,1.1833456938434357,0.5,104.44603370066602,1.1833456938434357,0.5,4,"P0080_orientationJ_ImageJ.txt, P0083_orientationJ_ImageJ.txt, P0082_orientationJ_ImageJ.txt, P0081_orientationJ_ImageJ.txt"
228_09,1,1578687.856489402,3157381.712978804,3157391.2918493566,1877.0721676494677,4.8654962689782029e-283,320267.95419999992,0.07663022182398628,1947.9826691768949,0.89707263634254297,1.0,2,69.19475649833457,1.2851174249310453,0.5,92.22415082840774,1.2851174249310453,0.5,4,"P0086_orientationJ_ImageJ.txt, P0087_orientationJ_ImageJ.txt, P0084_orientationJ_ImageJ.txt, P0085_orientationJ_ImageJ.txt"
231_09,1,1368504.2634965526,2737014.5269931052,2737024.1058636578,5069.0899634025473,0.0,274205.22279999999,0.14351435592109302,5118.9422454629848,0.99999927371987707,1.0,2,62.01658610005648,1.564030219541242,0.5,108.208067398905,1.564030219541242,0.5,4,"P0091_orientationJ_ImageJ.txt, P0090_orientationJ_ImageJ.txt, P0088_orientationJ_ImageJ.txt, P0089_orientationJ_ImageJ.txt"
