directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,mu2,kappa2,prob2,number of files,filenames
177_09,1,1080481.1657076029,2160978.3314152057,2161003.8750700126,386.42059980243459,1.0512273881030826e-18,232540.12139999995,0.045139074469529361,495.76724665768785,0.99979915641914741,1.0,3,97.88353718633005,0.9501898097975137,0.3730254910821204,97.86374015716974,4.225255696315873,0.3205276402581115,78.01816093366708,6.098194838368016,0.30644686865976806,4,"P0025_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
180_09,1,1446174.6402885402,2892365.2805770803,2892390.8242318872,256.74060626936028,2.3980414724227969e-05,321032.91080000025,0.037428150034698189,443.60148039968516,0.99999322212798492,1.0,3,94.57775575327153,3.800310972807607,0.5601439974032966,86.34439682217274,1.2493639489678041,0.28648187949669845,77.59407088111664,5.737029260017791,0.15337412310000503,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0018_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
183_09,1,1141012.9399113688,2282041.8798227375,2282067.4234775444,503.51610112428421,1.7290873125941346e-34,226218.98880000002,0.050120486221382439,556.18035409323716,0.99996913808297094,1.0,3,119.51175410168723,2.4740176038158115,0.41016306743231146,69.29153585215218,4.496745574637099,0.3554286920302918,177.37584153248108,0.6776596573111012,0.23440824053739673,4,"P0029_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
186_09,1,1596863.7776814522,3193743.5553629044,3193769.0990177114,265.81134168935154,4.5649810126136835e-06,352105.01409999985,0.037849057234702645,506.71028546473462,0.99995254236165143,1.0,3,92.9268586941495,2.1568588525447465,0.5334498885417622,92.34564263724573,6.333534368353004,0.38652116224494604,4.7156303979704,0.44919000039613627,0.0800289492132917,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
189_09,1,2103435.2642718665,4206886.5285437331,4206912.07219854,290.03102425721721,3.5151461921472313e-08,456764.24890000001,0.032632773329307349,495.77551982245819,0.99992778629101242,1.0,3,75.0247333715328,3.167487427838409,0.5480283596765543,84.94193929045554,1.1584856732720268,0.22997394742506125,101.13131360935557,4.442979806631005,0.2219976928983845,4,"P0032_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt"
192_09,1,1942337.8429369819,3884691.6858739639,3884717.2295287708,263.30120901624639,7.2930943954795466e-06,384617.83920000016,0.028357508079333245,310.13445049992436,0.99999973994541591,1.0,3,144.31603799802676,0.26413615489873987,0.5143896892639395,97.72408439884741,2.3759852660992173,0.4154495887564146,77.45107770530679,4.095699307118438,0.07016072197964605,4,"P0035_orientationJ_ImageJ.txt, P0037_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
195_09,1,1479126.8812326973,2958269.7624653946,2958295.3061202015,326.99468818538435,7.2700687651776136e-12,304810.46040000016,0.036153911745082999,403.54739633394007,0.9999918035145654,1.0,3,90.21657761402972,1.010037626978178,0.7019842982196194,87.78415789285418,3.0861622099998214,0.28880502401882524,117.52334829211915,32.02406940962784,0.009210677761555434,4,"P0041_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt"
198_09,1,2335277.3125020782,4670570.6250041565,4670596.1686589634,311.46331281596156,2.9574379812750145e-10,487631.01830000023,0.030737428667591906,464.02541958908216,0.9999751389740037,1.0,3,89.26267525416516,0.8387982333290509,0.5083948078370237,90.69438310069698,3.660683833898933,0.4145654191989366,114.27226395672271,6.7053287347287505,0.0770397729640397,4,"P0043_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
201_09,1,1718664.2248834758,3437344.4497669516,3437369.9934217585,274.48140655513009,8.5777518954718197e-07,351429.71530000004,0.03177639170336883,348.36076985070764,0.99999954402725399,1.0,3,93.09046029482971,1.415445383449699,0.9201924980263818,63.335947434979744,6.818454088559588,0.045654855044760745,2.8692671837114867,2.0850287738545266,0.034152646928857465,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0049_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
204_09,1,2318483.3041548338,4636982.6083096676,4637008.1519644745,421.85512459885621,3.3127958686047389e-23,522274.80490000005,0.039557803655109816,817.60875898139238,0.99905181409640342,1.0,3,95.39723136989572,4.595504675811649,0.7039258857884738,98.2812347679882,1.2020423792679504,0.293203830285109,0.7133735180840105,12.916939339943697,0.0028702839264171578,4,"P0054_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt"
207_09,1,739550.46149098827,1479116.9229819765,1479142.4666367837,271.53874384669024,1.5267748075710833e-06,158828.84330000001,0.04704977178069461,347.98839407145806,0.99999936692939995,1.0,3,87.89267733373634,3.7359198048591296,0.6851428578341079,69.52000013146393,0.5080345348102092,0.23897035632543057,114.7861999258568,4.349923665361589,0.07588678584046157,4,"P0056_orientationJ_ImageJ.txt, P0057_orientationJ_ImageJ.txt, P0058_orientationJ_ImageJ.txt, P0055_orientationJ_ImageJ.txt"
210_09,1,686351.78453187039,1372719.5690637408,1372745.1127185479,213.59203682000447,0.014965887538226487,145697.3995,0.043102472170902455,268.6483932676224,0.99999997635292182,0.99999999999999023,3,111.14288344433197,2.328659198806226,0.6074978471434508,82.86919130543119,4.500790116062147,0.3259706631332511,20.084805041938758,0.3381560807795059,0.06653148972329809,4,"P0061_orientationJ_ImageJ.txt, P0062_orientationJ_ImageJ.txt, P0059_orientationJ_ImageJ.txt, P0060_orientationJ_ImageJ.txt"
213_09,1,935128.48276109062,1870272.9655221812,1870298.5091769884,361.93953241991591,9.0889630661277752e-16,191805.69750000001,0.046683939645360127,409.36173924547444,0.99999770259326681,1.0,3,85.22489515387764,2.8032537703450098,0.5398825404398145,114.55600050725378,0.5939063676136213,0.38082667864821945,61.43344295285301,3.5226528909638555,0.07929078091196601,4,"P0064_orientationJ_ImageJ.txt, P0065_orientationJ_ImageJ.txt, P0063_orientationJ_ImageJ.txt, P0066_orientationJ_ImageJ.txt"
216_09,1,2119282.8677900974,4238581.7355801947,4238607.2792350017,439.81659501979988,1.3760901924643249e-25,461414.79649999976,0.038287720139339385,668.95616422990577,0.99982401895912931,1.0,3,103.17392963173108,2.9540545174628012,0.850503117175504,67.49611834175947,3.380479724922984,0.12160098630239458,5.344345414602608,1.6525569072230295,0.027895896522101494,4,"P0071_orientationJ_ImageJ.txt, P0069_orientationJ_ImageJ.txt, P0070_orientationJ_ImageJ.txt, P0068_orientationJ_ImageJ.txt"
