dataset, N_c, 1, N_c, 2, N_c, 3
 , aic, bic, aic, bic, aic, bic
177_09,1(1)   ,1(1)   ,2(2)   ,2(2)   ,3(3)** ,3(3)** 
180_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,3(3)***,3(3)***
183_09,1(1)** ,1(1)** ,2(2)** ,2(2)** ,2(3)** ,2(3)** 
186_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,2(3)** ,2(3)** 
189_09,1(1)*  ,1(1)*  ,1(2)** ,1(2)** ,3(3)** ,3(3)** 
192_09,1(1)** ,1(1)** ,1(2)***,1(2)***,1(3)***,1(3)***
195_09,1(1)** ,1(1)** ,2(2)** ,2(2)** ,2(3)***,2(3)***
198_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,2(3)** ,2(3)** 
201_09,1(1)*  ,1(1)*  ,1(2)** ,1(2)** ,1(3)***,1(3)***
204_09,1(1)   ,1(1)   ,2(2)** ,2(2)** ,2(3)** ,2(3)** 
207_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,1(3)***,1(3)***
210_09,1(1)** ,1(1)** ,2(2)** ,2(2)** ,2(3)***,2(3)***
213_09,1(1)   ,1(1)   ,1(2)***,1(2)***,1(3)***,1(3)***
216_09,1(1)***,1(1)***,2(2)** ,2(2)** ,2(3)** ,2(3)** 
219_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,1(3)** ,1(3)** 
222_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,1(3)** ,1(3)** 
225_09,1(1)** ,1(1)** ,1(2)** ,1(2)** ,2(3)** ,2(3)** 
228_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,1(3)** ,1(3)** 
231_09,1(1)***,1(1)***,2(2)** ,2(2)** ,3(3)** ,3(3)** 
234_09,1(1)   ,1(1)   ,1(2)*  ,1(2)*  ,1(3)***,1(3)***
237_09,1(1)** ,1(1)** ,2(2)** ,2(2)** ,2(3)***,2(3)***
240_09,1(1)** ,1(1)** ,2(2)** ,2(2)** ,2(3)***,2(3)***
243_09,1(1)   ,1(1)   ,2(2)** ,2(2)** ,1(3)** ,1(3)** 
246_09,1(1)   ,1(1)   ,2(2)** ,2(2)** ,2(3)** ,2(3)** 
249_09,1(1)** ,1(1)** ,1(2)***,1(2)***,1(3)***,1(3)***
252_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,2(3)***,2(3)***
255_09,1(1)** ,1(1)** ,1(2)***,1(2)***,1(3)***,1(3)***
258_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,2(3)** ,2(3)** 
261_09,1(1)*  ,1(1)*  ,1(2)***,1(2)***,2(3)***,2(3)***
264_09,1(1)** ,1(1)** ,2(2)** ,2(2)** ,2(3)***,2(3)***
267_09,1(1)*  ,1(1)*  ,1(2)***,1(2)***,1(3)***,1(3)***
270_09,1(1)   ,1(1)   ,2(2)** ,2(2)** ,2(3)** ,2(3)** 
273_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,1(3)** ,1(3)** 
276_09,1(1)   ,1(1)   ,1(2)***,1(2)***,1(2)***,1(2)***
279_09,1(1)*  ,1(1)*  ,1(2)***,1(2)***,2(3)***,2(3)***
282_09,1(1)** ,1(1)** ,1(2)** ,1(2)** ,1(3)***,1(3)***
285_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,2(3)***,2(3)***
288_09,1(1)** ,1(1)** ,2(2)** ,2(2)** ,3(3)***,3(3)***
291_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,1(3)***,1(3)***
294_09,1(1)*  ,1(1)*  ,1(2)***,1(2)***,1(3)***,1(3)***
297_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,1(3)** ,1(3)** 
300_09,1(1)** ,1(1)** ,2(2)** ,2(2)** ,2(3)***,2(3)***
303_09,1(1)   ,1(1)   ,2(2)** ,2(2)** ,2(3)***,2(3)***
306_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,2(3)** ,2(3)** 
309_09,1(1)*  ,1(1)*  ,1(2)** ,1(2)** ,2(3)***,2(3)***
312_09,1(1)   ,1(1)   ,2(2)** ,2(2)** ,3(3)***,3(3)***
315_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,3(3)** ,3(3)** 
318_09,1(1)   ,1(1)   ,1(2)***,1(2)***,2(3)***,2(3)***
321_09,1(1)   ,1(1)   ,1(2)***,1(2)***,1(3)***,1(3)***
324_09,1(1)*  ,1(1)*  ,1(2)***,1(2)***,1(2)***,1(2)***
327_09,1(1)   ,1(1)   ,2(2)** ,2(2)** ,1(3)***,1(3)***
330_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,1(3)***,1(3)***
333_09,1(1)*  ,1(1)*  ,1(2)   ,1(2)   ,3(3)** ,3(3)** 
336_09,1(1)   ,1(1)   ,2(2)** ,2(2)** ,2(3)** ,2(3)** 
339_09,1(1)   ,1(1)   ,1(2)***,1(2)***,1(3)***,1(3)***
342_09,1(1)*  ,1(1)*  ,2(2)** ,2(2)** ,3(3)***,3(3)***
345_09,1(1)** ,1(1)** ,2(2)** ,2(2)** ,2(3)** ,2(3)** 
348_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,1(3)***,1(3)***
351_09,1(1)   ,1(1)   ,2(2)** ,2(2)** ,1(3)** ,1(3)** 
354_09,1(1)   ,1(1)   ,1(2)***,1(2)***,1(3)***,1(3)***
357_09,1(1)** ,1(1)** ,1(2)** ,1(2)** ,1(3)***,1(3)***
360_09,1(1)   ,1(1)   ,1(2)***,1(2)***,1(3)***,1(3)***
363_09,1(1)   ,1(1)   ,1(2)***,1(2)***,2(3)***,2(3)***
366_09,1(1)*  ,1(1)*  ,1(2)***,1(2)***,2(3)***,2(3)***
369_09,1(1)   ,1(1)   ,1(2)***,1(2)***,1(3)***,1(3)***
372_09,1(1)   ,1(1)   ,2(2)** ,2(2)** ,2(3)** ,2(3)** 
375_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,1(3)** ,1(3)** 
378_09,1(1)   ,1(1)   ,1(2)*  ,1(2)*  ,2(3)** ,2(3)** 
381_09,1(1)   ,1(1)   ,2(2)***,2(2)***,2(3)***,2(2)***
384_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,2(3)***,2(3)***
387_09,1(1)*  ,1(1)*  ,1(2)** ,1(2)** ,1(3)***,1(3)***
390_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,2(3)** ,2(3)** 
393_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,1(3)** ,1(3)** 
396_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,2(3)** ,2(3)** 
399_09,1(1)*  ,1(1)*  ,1(2)***,1(2)***,2(3)***,2(3)***
402_09,1(1)** ,1(1)** ,1(2)***,1(2)***,2(3)***,2(3)***
405_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,1(3)** ,1(3)** 
408_09,1(1)   ,1(1)   ,2(2)** ,2(2)** ,3(3)***,3(3)***
411_09,1(1)** ,1(1)** ,1(2)** ,1(2)** ,2(3)***,2(3)***
414_09,1(1)** ,1(1)** ,2(2)** ,2(2)** ,2(3)***,2(3)***
417_09,1(1)*  ,1(1)*  ,2(2)** ,2(2)** ,2(3)***,2(3)***
423_09,1(1)   ,1(1)   ,1(2)** ,1(2)** ,2(3)** ,2(3)** 
